address,LHIN,licensee,management,home type,short stay,residents council,family council,accreditation,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,Pruid,latitude,longitude
429 Walmer Road,Toronto Central,Cedarvale Terrace Ltc Inc. As General Partner Of Cedarvale Terrace Ltc Limited Partnership,,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5P2X9,218.0,65.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,cedarvale terrace,0,0,<5,Active,Toronto,3520005.0,35.0,43.68545859,-79.41242340000001
860 Great Northern Road,North East,Autumnwood Mature Lifestyle Communities Inc.,Universalcare Canada Inc.,For-Profit,No,Yes,Yes,No,Sault Ste. Marie, P6A5K7,50.0,37.0,"(31.0, 46.0]",2.0,37.0,"(23.0, 86.0]",3.0,5.0,"(0.0, 5.0]",0.0,cedarwood lodge,,,,,Sault Ste. Marie,3557061.0,35.0,46.55200831,-84.31955276
500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),Maplewood Nursing Home Limited,,For-Profit,Yes,Yes,Yes,Yes,Simcoe, N3Y4R4,91.0,34.0,"(31.0, 46.0]",2.0,25.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,cedarwood village,,,,,Norfolk County,3528052.0,35.0,42.8408326,-80.32971141
2 Centennial Lane North,Central East,Centennial Place Millbrook Inc.,,For-Profit,No,Yes,No,Yes,Millbrook, L0A1G0,128.0,29.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,centennial place long-term care home,,,,,Cavan Monaghan,3515013.0,35.0,44.1562909,-78.4477515
275 Perrier Street,Champlain,City Of Ottawa,,Municipal,No,Yes,Yes,Yes,Vanier, K1L5C6,160.0,122.0,"(46.0, 172.0]",3.0,86.0,"(23.0, 86.0]",3.0,44.0,"(11.0, 44.0]",3.0,centre d'accueil champlain,0,0,<5,Active,Ottawa,3506008.0,35.0,45.44308406,-75.66040993
435 Lemay Street,Champlain,Centre D'accueil Roger Seguin,,Non-Profit,Yes,Yes,Yes,No,Clarence Creek, K0A1N0,110.0,51.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,centre d'accueil roger seguin,,0,,Inactive,Clarence-Rockland,3502036.0,35.0,45.51025689,-75.21616879
428 Front Road West,Champlain,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,No,Yes,Yes,Yes,L'Orignal, K0B1K0,60.0,30.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,champlain long term care residence,,,,,,,,,
32 Mill Street,Central,Chartwell Master Care Lp,,For-Profit,Yes,Yes,Yes,Yes,Aurora, L4G2R9,235.0,28.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,chartwell aurora long term care residence,31,11,5,Active,Aurora,3519046.0,35.0,43.99779774,-79.47131474
465 Talbot Street West,South West,Chartwell Master Care Lp,,For-Profit,No,Yes,No,Yes,Aylmer, N5H1K8,64.0,30.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,chartwell aylmer long term care residence,,,,,Aylmer,3534011.0,35.0,42.77395085,-80.99760032
70 Station Street,Central East,Chartwell Master Care Lp,,For-Profit,No,Yes,Yes,Yes,Ajax, L1S1R9,100.0,65.0,"(46.0, 172.0]",3.0,43.0,"(23.0, 86.0]",3.0,7.0,"(5.0, 7.0]",1.0,chartwell ballycliffe long term care residence,5,30,31,Active,Ajax,3518005.0,35.0,43.85095764,-79.02534179
1182 Northshore Blvd. East,Hamilton Niagara Haldimand Brant (Hnhb),Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,No,Yes,Yes,Yes,Burlington, L7S1C5,175.0,42.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,chartwell brant centre long term care residence,,,,,Burlington,3524002.0,35.0,43.31651571,-79.80381069
11 Herbert Street,Waterloo Wellington,Chartwell Master Care Lp,,For-Profit,No,Yes,No,Yes,Elmira, N3B2B8,48.0,17.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,chartwell elmira long term care residence,,0,,Inactive,Woolwich,3530035.0,35.0,43.60150562,-80.56368125
1925 Steeles Avenue East,Central,Chartwell Master Care Lp,,For-Profit,No,Yes,No,Yes,North York, M2H2H3,202.0,57.0,"(46.0, 172.0]",3.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,chartwell gibson long term care residence,31,9,10,Active,Toronto,3520005.0,35.0,43.80765981,-79.37379369
2000 Blackwater Road,South West,Chartwell Master Care Lp,,For-Profit,No,Yes,No,Yes,London, N5X4K6,95.0,43.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,chartwell london long term care residence,,,,,London,3539036.0,35.0,43.04406869,-81.26074922
250 Tain Street P.O. Box 129,South West,Chartwell Master Care Lp,,For-Profit,No,Yes,No,Yes,Parkhill, N0M2K0,59.0,21.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,chartwell parkhill long term care residence,,,,,North Middlesex,3539041.0,35.0,43.15701009,-81.68166257
8403 Islington Avenue North,Central West,Chartwell Master Care Lp,,For-Profit,Yes,Yes,Yes,Yes,Woodbridge, L4L1X3,101.0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,chartwell pine grove long term care residence,0,0,<5,Active,Vaughan,3519028.0,35.0,43.797729,-79.58431476
1750 Division Road North,Erie St. Clair,Chartwell Master Care Lp,,For-Profit,No,Yes,Yes,Yes,Kingsville, N9Y4G7,160.0,72.0,"(46.0, 172.0]",3.0,40.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,chartwell royal oak long term care residence,,,,,Kingsville,3537013.0,35.0,42.0501946,-82.7375796
340 McCowan Road,Central East,Trilogy Ltc Inc.,,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1J3P4,197.0,31.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,chartwell trilogy long term care residence,,,,,Toronto,3520005.0,35.0,43.73848531,-79.23864245
2140 Baronwood Drive,Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,No,Yes,Yes,Yes,Oakville, L6M4V6,168.0,42.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,chartwell waterford long term care residence,<5,0,<5,Active,Oakville,3524001.0,35.0,43.42715623,-79.76303438
2065 Leanne Boulevard,Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,No,Yes,Yes,Yes,Mississauga, L5K2L6,161.0,27.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,chartwell wenleigh long term care residence,,,,,Mississauga,3521005.0,35.0,43.52485635,-79.65178876
495 The West Mall,Mississauga Halton,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,No,Yes,Yes,Yes,Etobicoke, M9C5S3,187.0,20.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,chartwell westbury long term care residence,61,20,23,Active,Toronto,3520005.0,35.0,43.64832328,-79.56767874
200 David Bergey Drive,Waterloo Wellington,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,No,Yes,Yes,Yes,Kitchener, N2E3Y4,161.0,44.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,chartwell westmount long term care residence,<5,0,0,Active,Kitchener,3530013.0,35.0,43.40613299,-80.51775782
138 Dowling Avenue,Toronto Central,Chartwell Master Care Lp,,For-Profit,Yes,Yes,Yes,Yes,Toronto, M6K3A6,57.0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,chartwell white eagle long term care residence,26,11,9,Active,Toronto,3520005.0,35.0,43.63717128,-79.4392265
1217 Old Mohawk Road,Hamilton Niagara Haldimand Brant (Hnhb),Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,No,Yes,Yes,Yes,Ancaster, L9K1P6,169.0,24.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,chartwell willowgrove long term care residence,,,,,Hamilton,3525005.0,35.0,43.23324649,-79.93527582
380 Church Street,Central,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Yes,No,Yes,Yes,Markham, L6B1E1,192.0,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,chartwell woodhaven long term care residence,0,0,<5,Active,Markham,3519036.0,35.0,43.88586653,-79.23093356
451 Woodmount Drive,Central East,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,No,Yes,Yes,Yes,Oshawa, L1G8E3,172.0,27.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,chartwell wynfield long term care residence,,,,,Oshawa,3518013.0,35.0,43.94673256,-78.87267965
2990 B Riverside Drive West,Erie St. Clair,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,No,Yes,Yes,Yes,Windsor, N9C1A2,59.0,16.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,chateau park long term care home,,,,,Windsor,3537039.0,35.0,42.30747117,-83.07313582
310 Oxford Street West,South West,"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","Diversicare Canada Management Services Co., Inc.",For-Profit,Yes,Yes,Yes,Yes,London, N6H4N6,247.0,73.0,"(46.0, 172.0]",3.0,36.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,chelsey park,,0,,Inactive,London,3539036.0,35.0,42.98760838,-81.27670392
5935 Bathurst Street,Central,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Yes,Yes,Yes,Yes,North York, M2R1Y8,170.0,30.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,cheltenham care community,,,,,Toronto,3520005.0,35.0,43.7818402,-79.44446061
3555 Danforth Avenue,Toronto Central,Broadview Foundation,,Non-Profit,No,Yes,Yes,Yes,Toronto, M1L1E3,203.0,23.0,"(21.0, 31.0]",1.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,chester village,,,,,Toronto,3520005.0,35.0,43.6936488,-79.27484865
337 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),Clarion Nursing Homes Limited,,For-Profit,No,Yes,Yes,Yes,Stoney Creek, L8G1E7,100.0,22.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,clarion nursing home,,0,,Inactive,Hamilton,3525005.0,35.0,43.22037979,-79.72817146
140 Cundles Road West,North Simcoe Muskoka,Oakwood Retirement Communities Inc.,,For-Profit,No,Yes,Yes,Yes,Barrie, L4N9X8,112.0,19.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,coleman care centre,,,,,Barrie,3543042.0,35.0,44.4011191,-79.71536396
250 Campbell Street,North Simcoe Muskoka,Collingwood Nursing Home Limited,,For-Profit,No,Yes,Yes,No,Collingwood, L9Y4J9,60.0,23.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,13.0,"(11.0, 44.0]",3.0,collingwood nursing home,,,,,Collingwood,3543031.0,35.0,44.48264419,-80.22895893
650 Mountain Maple Avenue,Waterloo Wellington,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Waterloo, N2V2P7,156.0,44.0,"(31.0, 46.0]",2.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,columbia forest,,,,,Waterloo,3530016.0,35.0,43.4649426,-80.59136415
55 The Queensway West,Mississauga Halton,Rykka Care Centres Lp,,For-Profit,Yes,Yes,Yes,Yes,Mississauga, L5B1B5,192.0,65.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,cooksville care centre,40,6,17,Active,Mississauga,3521005.0,35.0,43.57334286,-79.60968605
66 Roncesvalles Avenue,Toronto Central,Copernicus Lodge,,Non-Profit,Yes,Yes,Yes,No,Toronto, M6R3A7,228.0,24.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,copernicus lodge,0,0,<5,Active,Toronto,3520005.0,35.0,43.64020808,-79.447311
91 Tecumseh Road,Erie St. Clair,Copper Terrace Limited,Apans Inc.,For-Profit,Yes,Yes,Yes,Yes,Chatham, N7M1B3,138.0,94.0,"(46.0, 172.0]",3.0,50.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,copper terrace,,,,,Chatham-Kent,3536020.0,35.0,42.39831463,-82.20038906
"R. R. #3, 317079 Hwy 6 & 10",South West,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,No,Yes,Yes,Yes,Chatsworth, N0H1G0,34.0,21.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,country lane long term care residence,,,,,Chatsworth,3542037.0,35.0,44.465706899999994,-80.9030782
10072 Oxbow Drive R.R. #3,South West,Omni Healthcare (Ct) Gpco Ltd. As General Partner Of Omni Healthcare (Country Terrace) Limited Partnershippartner,,For-Profit,Yes,Yes,No,Yes,Komoka, N0L1R0,120.0,83.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,country terrace,,,,,Middlesex Centre,3539033.0,35.0,42.95867137,-81.43757387
440 County Road 8 R. R. #2,Erie St. Clair,"Cvh (No. 5) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",Kanata Living Inc.,For-Profit,No,Yes,Yes,Yes,Woodslee, N0R1V0,104.0,62.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,country village homes - woodslee,0,18,<5,Active,Kingsville,3537013.0,35.0,42.172411100000005,-82.72129740000001
221 Main Street R. R. #1,South West,Craigwiel Gardens,,Non-Profit,Yes,Yes,Yes,No,Ailsa Craig, N0M1A0,83.0,51.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,craigholme,,,,,North Middlesex,3539041.0,35.0,43.14535469,-81.53006982
102 Craiglee Drive,Central East,Craiglee Nursing Home Limited,Extendicare (Canada) Inc.,For-Profit,No,Yes,Yes,Yes,Scarborough, M1N2M7,169.0,65.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,craiglee nursing home,<5,<5,7,Active,Toronto,3520005.0,35.0,43.706865,-79.25329325
143 Mary Street,North Simcoe Muskoka,2063412 Ontario Limited As General Partner Of 2063412 Investment Lp,,For-Profit,No,Yes,Yes,Yes,Creemore, L0M1G0,95.0,26.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,creedan valley care community,,,,,Clearview,3543005.0,35.0,44.32664057,-80.09982767
5200 Corporate Drive,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Halton,,Municipal,No,Yes,Yes,Yes,Burlington, L7L7G7,144.0,30.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,creek way village,,,,,Burlington,3524002.0,35.0,43.39302822,-79.77985319
4 Hagey Avenue,Hamilton Niagara Haldimand Brant (Hnhb),955464 Ontario Limited,,For-Profit,Yes,Yes,Yes,Yes,Fort Erie, L2A5M5,68.0,26.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,crescent park lodge,,,,,Fort Erie,3526003.0,35.0,42.91044887,-78.92320857
106 Crown Street,South East,Crown Ridge Health Care Services Inc.,,For-Profit,Yes,Yes,Yes,Yes,Trenton, K8V6R3,116.0,24.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,crown ridge place,,,,,Quinte West,3512015.0,35.0,44.10639945,-77.56149694
205 Cummer Avenue,Central,Toronto Long-term Care Homes And Services,,Municipal,Yes,Yes,Yes,Yes,North York, M2M2E8,391.0,50.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,cummer lodge,<5,<5,0,Active,Toronto,3520005.0,35.0,43.78816171,-79.4075617
710 Southdale Road East,South West,The Corporation Of The City Of London,,Municipal,Yes,Yes,Yes,Yes,London, N6E1R8,243.0,76.0,"(46.0, 172.0]",3.0,33.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,dearness home for senior citizens,,,,,London,3539036.0,35.0,42.94410837,-81.2242039
150 Central Avenue,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,No,Yes,No,Yes,Grimsby, L3M4Z3,39.0,14.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,deer park villa,,,,,Grimsby,3526065.0,35.0,43.189536499999996,-79.54142639
70 Humberline Drive,Central West,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,Yes,Yes,Etobicoke, M9W7H3,160.0,33.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,deerwood creek care community,,,,,Toronto,3520005.0,35.0,43.73160489,-79.61744587
750 Gibraltar Street,Hamilton Niagara Haldimand Brant (Hnhb),Delhi Nursing Home Ltd.,,For-Profit,No,Yes,No,Yes,Delhi, N4B3B3,60.0,27.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,delhi long term care centre,,,,,Norfolk County,3528052.0,35.0,42.842040600000004,-80.4905752
54 Eby Street,Waterloo Wellington,Derbecker's Heritage House Limited,,For-Profit,No,Yes,No,No,St. Jacobs, N0B2N0,73.0,10.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,derbecker's heritage house,,,,,Woolwich,3530035.0,35.0,43.54089651,-80.54914374
52 Neilson Drive,Mississauga Halton,Slovenian Linden Foundation,,Non-Profit,No,Yes,No,No,Etobicoke, M9C1V7,66.0,10.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,dom lipa,,0,,Inactive,Toronto,3520005.0,35.0,43.62949697,-79.56513824
277 Plymouth Road,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Yes,Yes,Yes,Yes,Welland, L3B6E3,120.0,32.0,"(31.0, 46.0]",2.0,10.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,douglas h. rapelje lodge,,0,,Inactive,Welland,3526032.0,35.0,42.97774267,-79.24618498
501 St George Street P.O. BOX 430,Hamilton Niagara Haldimand Brant (Hnhb),Dover Cliffs Operating Inc.,,For-Profit,Yes,Yes,Yes,Yes,Port Dover, N0A1N0,70.0,38.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,dover cliffs,,,,,Norfolk County,3528052.0,35.0,42.78788949,-80.20786437
3595 Keele Street,Central,Downsview Long Term Care Centre Limited,,For-Profit,Yes,Yes,Yes,Yes,North York, M3J1M7,252.0,63.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,downsview long term care centre,35,23,71,Active,Toronto,3520005.0,35.0,43.7511842,-79.48559573
151 Centre Street,Central West,Corporation Of The County Of Dufferin,,Municipal,No,Yes,Yes,No,Shelburne, L0N1S4,160.0,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,dufferin oaks,<5,<5,6,Active,Shelburne,3522021.0,35.0,44.07675832,-80.20035498
533 Clarence Street P.O. Box 970,Champlain,Rural Healthcare Innovations Inc.,Winchester District Memorial Hospital,Non-Profit,No,Yes,Yes,Yes,Winchester, K0C2K0,98.0,40.0,"(31.0, 46.0]",2.0,26.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,dundas manor nursing home,,,,,North Dundas,3501030.0,35.0,45.08860351,-75.35556820000001
39 Mary Street,Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Yes,Yes,Yes,Yes,Hamilton, L8R3L8,201.0,52.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,dundurn place care centre,6,<5,<5,Active,Hamilton,3525005.0,35.0,43.25642639,-79.86394320000001
38 Black Diamond Road P.O. Box 68,South East,Keay Nursing Homes Inc.,,For-Profit,Yes,Yes,No,Yes,Cannifton, K0K1K0,57.0,24.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,e. j. mcquigge lodge,,,,,Belleville,3512005.0,35.0,44.19803357,-77.39029009
329 Eagle Street,Central,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Newmarket, L3Y1K3,70.0,13.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,eagle terrace,<5,<5,<5,Active,Newmarket,3519048.0,35.0,44.04894845,-79.46340434
"1390 Highbury Avenue, North",South West,Sharon Farms & Enterprises Limited,Responsive Health Management Inc.,For-Profit,No,Yes,Yes,Yes,London, N5Y0B6,128.0,90.0,"(46.0, 172.0]",3.0,83.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,earls court village,9,<5,8,Active,London,3539036.0,35.0,43.02686099,-81.21868721
62 Big Bend Avenue P.O. Box 400,North East,East District Of Parry Sound Home For The Aged,,Municipal,No,Yes,Yes,No,Powassan, P0H1Z0,128.0,18.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,eastholme home for the aged,,,,,Powassan,3549060.0,35.0,46.078695700000004,-79.35888349999999
420 The East Mall,Mississauga Halton,Rykka Care Centres Lp,,For-Profit,No,Yes,Yes,Yes,Etobicoke, M9B3Z9,247.0,38.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,eatonville care centre,142,40,56,Active,Toronto,3520005.0,35.0,43.64760318,-79.56046144
5016 Wellington County Road 29 R. R. #2,Waterloo Wellington,Eden House Care Facility Inc.,Assured Care Consulting Inc.,For-Profit,No,Yes,Yes,Yes,Guelph, N1H6H8,59.0,17.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,eden house nursing home,,,,,Guelph/Eramosa,3523009.0,35.0,43.58078794,-80.16785633
428 Broad Street West,Hamilton Niagara Haldimand Brant (Hnhb),Haldimand War Memorial Hospital,,Non-Profit,No,Yes,Yes,Yes,Dunnville, N1A1T3,64.0,21.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,edgewater gardens long term care centre,,,,,Haldimand County,3528018.0,35.0,42.90614674,-79.625957
40 Old Kingston Road,Central East,Estonian Relief Committee In Canada,,Non-Profit,No,Yes,Yes,No,Scarborough, M1E3J5,32.0,9.0,"(0.0, 21.0]",0.0,5.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,ehatare nursing home,,0,,Inactive,Toronto,3520005.0,35.0,43.77551412,-79.18320493
380 First Avenue North P.O. Box 7,South West,Capricorn Investments Corporation Limited,Extendicare (Canada) Inc.,For-Profit,No,Yes,No,Yes,Chesley, N0G1L0,27.0,33.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,elgin abbey nursing home,,,,,Arran-Elderslie,3541043.0,35.0,44.31058562,-81.09967099
39262 Fingal Line R. R. #1,South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Yes,Yes,Yes,No,St. Thomas, N5P3S5,90.0,34.0,"(31.0, 46.0]",2.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,elgin manor,,,,,Southwold,3534024.0,35.0,42.76901044,-81.23754879
182 Yorkland Street,Central,Axr Operating (National) Lp,,For-Profit,Yes,Yes,Yes,Yes,Richmond Hill, L4S2M9,124.0,25.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,elginwood,,,,,Richmond Hill,3519038.0,35.0,43.90172983,-79.44169122
75 Bruyere Street,Champlain,Bruyère Continuing Care Inc.,,Non-Profit,No,Yes,Yes,Yes,Ottawa, K1N5C8,71.0,64.0,"(46.0, 172.0]",3.0,50.0,"(23.0, 86.0]",3.0,22.0,"(11.0, 44.0]",3.0,élisabeth-bruyère residence,10,5,<5,Active,,,,,
2100 Main Street,North East,Valley East Long Term Care Centre Inc.,,For-Profit,Yes,Yes,Yes,Yes,Val Caron, P3N1S7,128.0,51.0,"(46.0, 172.0]",3.0,29.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,elizabeth centre,,,,,Greater Sudbury / Grand Sudbury,3553005.0,35.0,46.6119611,-81.02674901
35 Elm Grove Avenue,Toronto Central,Elm Grove Living Centre Inc.,,For-Profit,No,Yes,No,Yes,Toronto, M6K2J2,126.0,14.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,elm grove living centre,44,17,43,Active,Toronto,3520005.0,35.0,43.64031588,-79.4307008
