address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,latitude,longitude,number_beds
"184 Napier Street, S.S. #1",South West,Non-Profit,No,Yes,Yes,No,Mitchell, N0K1N0,34.0,"(31.0, 46.0]",2.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,mitchell nursing home,,,,,West Perth,3531025.0,43.47396537,-81.20189084,48.0
415 River Street West P.O. Box 200,South East,For-Profit,No,Yes,Yes,Yes,Tweed, K0K3J0,37.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,7.0,"(5.0, 7.0]",1.0,moira place long-term care home,,0,,Inactive,Tweed,3512030.0,44.47111572,-77.31915479,128.0
36 D'Arcy Street,Toronto Central,Non-Profit,Yes,Yes,No,No,Toronto, M5T1J7,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mon sheong home for the aged,23,32,16,Active,Toronto,3520005.0,43.65527498,-79.39314779,105.0
11199 Yonge Street,Central,Non-Profit,Yes,Yes,Yes,No,Richmond Hill, L4S1L2,11.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,mon sheong richmond hill long term care centre,,,,,Richmond Hill,3519038.0,43.90134473,-79.44320193,192.0
2030 Mcnicoll Avenue,Central East,Non-Profit,Yes,Yes,Yes,No,Scarborough, M1V5P4,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mon sheong scarborough long term care centre,,,,,Toronto,3520005.0,43.81309612,-79.29999097,160.0
705 Montreal Road,Champlain,For-Profit,No,Yes,Yes,Yes,Ottawa, K1K0M9,87.0,"(46.0, 172.0]",3.0,51.0,"(23.0, 86.0]",3.0,24.0,"(11.0, 44.0]",3.0,montfort,63,27,18,Active,Ottawa,3506008.0,45.44672936,-75.64059562,128.0
7363 Calfass Road R. R. #2,Waterloo Wellington,For-Profit,No,Yes,No,No,Puslinch, N0B2J0,20.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,morriston park nursing home,,,,,Puslinch,3523001.0,43.44004921,-80.1276776,28.0
21 Grosvenor Street P.O. Box 5777,South West,Non-Profit,Yes,Yes,Yes,Yes,London, N6A1Y6,87.0,"(46.0, 172.0]",3.0,44.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,mount hope centre for long term care,,0,,Inactive,London,3539036.0,42.99894988,-81.25634222,394.0
4486 Guelph Line,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Burlington, L7P0N2,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,mount nemo christian nursing home,,,,,Burlington,3524002.0,43.40257242,-79.87556992,61.0
65 Rogers Cove Drive,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,Huntsville, P1H2L9,32.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,muskoka landing,,,,,Huntsville,3544042.0,45.33624348,-79.20221468,94.0
200 Kelly Drive,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Gravenhurst, P1P1P3,43.0,"(31.0, 46.0]",2.0,29.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,muskoka shores care community,,,,,Gravenhurst,3544002.0,44.9143044,-79.36729389,183.0
155 Ontario Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,Yes,St. Catharines, L2R5K3,30.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,"niagara health system, welland hospital site, extended care unit",,,,,Welland,3526032.0,42.97988177,-79.24856448,115.0
413 Linwell Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,St Catharines, L2M7Y2,30.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,niagara ina grafton gage village,,,,,St. Catharines,3526053.0,43.20027151,-79.22528859,40.0
120 Wellington Street P.O. Box 985,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Niagara-On-The-Lake, L0S1J0,19.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,niagara long term care residence,,,,,,,,,124.0
125 Hogan Road P O Box 37,North West,Non-Profit,No,Yes,No,Yes,Nipigon, P0T2J0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,nipigon district memorial hospital,,,,,Nipigon,3558044.0,49.0155755,-88.2759054,15.0
1202 Highway 94,North East,For-Profit,No,Yes,Yes,Yes,Corbeil, P0H1K0,20.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,nipissing manor nursing care center,,,,,East Ferris,3548034.0,46.24835493,-79.33681562,120.0
740 Pape Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M4K3S7,13.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,nisbet lodge,,,,,Toronto,3520005.0,43.68025289,-79.34558197,103.0
200 Boullee Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,No,New Hamburg, N3A2K4,46.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,nithview home,,,,,Wilmot,3530020.0,43.38053997,-80.70159538,99.0
22 Norfinch Drive,Central,For-Profit,No,Yes,Yes,Yes,North York, M3N1X1,17.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,norfinch care community,,,,,Toronto,3520005.0,43.756787599999996,-79.52618684,160.0
2 Kimberly Drive,North East,Non-Profit,No,Yes,Yes,No,Kapuskasing, P5N1L5,17.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,north centennial manor,,,,,Kapuskasing,3556066.0,49.42402834,-82.43174902,78.0
39 Morris Street R.R. #6,Erie St. Clair,Municipal,No,Yes,Yes,No,Forest, N0N1J0,27.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,north lambton lodge,,,,,Lambton Shores,3538040.0,43.09281026,-81.99290376,88.0
450 Rustic Road,Central,For-Profit,No,Yes,Yes,Yes,North York, M6L1W9,25.0,"(21.0, 31.0]",1.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,north park nursing home,0,0,<5,Active,Toronto,3520005.0,43.71741799,-79.48214652,75.0
47 Ridge Road P.O. Box 1988,Champlain,Non-Profit,Yes,Yes,No,No,Deep River, K0J1P0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,north renfrew long-term care services,,,,,,,,,21.0
525 Causley Street P.O. Box 970,North East,Non-Profit,No,Yes,No,Yes,Blind River, P0R1B0,12.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,north shore health network – eldcap unit,,,,,,,,,10.0
525 Causley Street P. O. Box 970,North East,Non-Profit,No,Yes,Yes,Yes,Blind River, P0R1B0,15.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,north shore health network – ltc unit,,,,,,,,,22.0
2 Fielden Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,No,Yes,Port Colborne, L3K6G4,31.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,northland pointe,,,,,Port Colborne,3526011.0,42.8807752,-79.25766920000001,151.0
496 Postridge Drive,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Oakville, L6H7A2,35.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,northridge,,0,,Inactive,Oakville,3524001.0,43.48960334,-79.71426817,133.0
77 River Road P.O. Box 1139,North East,For-Profit,Yes,Yes,No,Yes,Englehart, P0J1H0,22.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,northview nursing home,<5,0,0,Active,Englehart,3554052.0,47.8219425,-79.8655049,48.0
51 Highway 105 P.O. Box 420,North West,Municipal,No,Yes,Yes,No,Red Lake, P0V2M0,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,northwood lodge,,,,,Red Lake,3560042.0,51.01327044,-93.82244384,32.0
44 Rob Blake Way,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,Yes,Yes,Yes,Simcoe, N3Y0E3,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,norview lodge,,0,,Inactive,Norfolk County,3528052.0,42.8372838,-80.33304111,179.0
122 Tyndall Avenue,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M6K2E2,15.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,norwood nursing home,<5,0,<5,Active,Toronto,3520005.0,43.63752278,-79.4293819,60.0
291 Mississaga Street West,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Orillia, L3V3B9,31.0,"(21.0, 31.0]",1.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,oak terrace,,,,,Orillia,3543052.0,44.60302415,-79.43126489,94.0
6747 Oakwood Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,No,Yes,Niagara Falls, L2E6S5,51.0,"(46.0, 172.0]",3.0,29.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,oakwood park lodge,,,,,Niagara Falls,3526043.0,43.0769904,-79.11785895,153.0
"2229 Elm Avenue, R.R. #2",South West,Non-Profit,No,Yes,Yes,No,Southwold, N0L2G0,39.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,oneida nation of the thames long-term care home (tsi' nu: yoyantle' na' tuhuwatisni),,,,,Oneida 41,3539021.0,42.81734514,-81.41178225,64.0
199 Glover Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Stoney Creek, L8E5J2,19.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,orchard terrace care centre,,,,,Hamilton,3525005.0,43.21015079,-79.68313844,45.0
1955 Valley Farm Road,Central East,For-Profit,No,Yes,Yes,Yes,Pickering, L1V3R6,67.0,"(46.0, 172.0]",3.0,36.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,orchard villa,74,69,<5,Active,Pickering,3518001.0,43.84623863,-79.0826885,233.0
130 Owen Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,Barrie, L4M3H7,17.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,owen hill care community,14,6,10,Active,Barrie,3543042.0,44.3951391,-79.69019855,57.0
439 Second Street East,Champlain,For-Profit,No,Yes,No,Yes,Cornwall, K6H1Z2,31.0,"(21.0, 31.0]",1.0,20.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,parisien manor,,,,,Cornwall,3501012.0,45.02136413,-74.71865558,65.0
295 Grand River Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Paris, N3L2N9,45.0,"(31.0, 46.0]",2.0,35.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,park lane terrace,,,,,Brant,3529005.0,43.21149506,-80.38916816,132.0
123 Weldon Road,Central,Non-Profit,No,Yes,Yes,Yes,Stouffville, L4A0G8,17.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,parkview home long-term care,,,,,Whitchurch-Stouffville,3519044.0,43.96541475,-79.25898437,128.0
98-3rd Street South East P.O. Box 298,South West,For-Profit,No,Yes,Yes,Yes,Chesley, N0G1L0,17.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,parkview manor health care centre,<5,0,0,Active,Arran-Elderslie,3541043.0,44.298319899999996,-81.091335,34.0
545 King Street West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L8P1C1,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,parkview nursing centre,,,,,Hamilton,3525005.0,43.26103249,-79.88486411,126.0
726 New Hampshire Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Waterloo, N2K4M1,22.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,parkwood mennonite home,,,,,Waterloo,3530016.0,43.51640151,-80.50225763,96.0
525 Main Street North,Central West,Municipal,No,Yes,Yes,Yes,Brampton, L6X1N9,55.0,"(46.0, 172.0]",3.0,15.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,peel manor,<5,<5,6,Active,Brampton,3521010.0,43.69999507,-79.78142981,177.0
198 Mornington Street,South West,For-Profit,Yes,Yes,No,Yes,Stratford, N5A5G3,7.0,"(0.0, 21.0]",0.0,,,,,,,people care centre,,,,,,,,,60.0
369 Frederick Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Kitchener, N2H2P1,31.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,peoplecare a.r. goudie kitchener,<5,9,13,Active,Kitchener,3530013.0,43.4564955,-80.47446971,80.0
42 Elliott Street,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Cambridge, N1R2J2,42.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,peoplecare hilltop manor cambridge,0,0,<5,Active,Cambridge,3530010.0,43.35352749,-80.30996865,185.0
1242 Oakcrossing Road,South West,For-Profit,No,Yes,Yes,Yes,London, N6H0G2,83.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,peoplecare oakcrossing london,0,0,<5,Active,London,3539036.0,42.99044098,-81.31277543,160.0
28 William Street North P.O. Box 460,South West,For-Profit,Yes,Yes,No,Yes,Tavistock, N0B2R0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,peoplecare tavistock,,,,,East Zorra-Tavistock,3532038.0,43.31908376,-80.83917752,100.0
101 Christie Lake Road R. R. #4,South East,For-Profit,No,Yes,Yes,Yes,Perth, K7H3C6,40.0,"(31.0, 46.0]",2.0,24.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,perth community care centre,,,,,Tay Valley,3509015.0,44.90433714,-76.27097938,121.0
9 Meridian Place,Champlain,Municipal,No,Yes,Yes,Yes,Ottawa, K2G6P8,91.0,"(46.0, 172.0]",3.0,69.0,"(23.0, 86.0]",3.0,35.0,"(11.0, 44.0]",3.0,peter d. clark centre,5,<5,5,Active,Ottawa,3506008.0,45.34293864,-75.76125205,216.0
124 Lloyd Street P.O. Box 100,South East,Non-Profit,Yes,Yes,Yes,Yes,Northbrook, K0H2G0,20.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,pine meadow nursing home,,,,,Addington Highlands,3511035.0,44.7375315,-77.1556304,60.0
490 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,Stoney Creek, L8G1G6,20.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,pine villa nursing home,,,,,Hamilton,3525005.0,43.21627369,-79.71616285,41.0
1220 Valley Drive,North West,Municipal,Yes,Yes,Yes,No,Kenora, P9N2W7,25.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,pinecrest (kenora),,,,,Kenora,3560010.0,49.7799152,-94.4631099,116.0
101 Parent Street P.O. Box 250,Champlain,For-Profit,No,Yes,Yes,No,Plantagenet, K0B1L0,50.0,"(46.0, 172.0]",3.0,32.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,pinecrest (plantagenet),24,9,5,Active,Alfred and Plantagenet,3502023.0,45.5420141,-74.99812112,60.0
399 Bob Street P.O. BOX 220,South West,For-Profit,No,Yes,Yes,Yes,Lucknow, N0G2H0,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,pinecrest manor,,,,,Huron-Kinloss,3541015.0,43.95579153,-81.51071469,61.0
3418 County Road 36 R.R. #2,Central East,For-Profit,No,Yes,Yes,No,Bobcaygeon, K0M1A0,20.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,pinecrest nursing home (bobcaygeon),33,29,32,Active,Kawartha Lakes,3516010.0,44.52836508,-78.53389679,65.0
229 Lexington Road,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Waterloo, N2K2E1,39.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,pinehaven nursing home,,0,,Inactive,Waterloo,3530016.0,43.492695399999995,-80.51167673,84.0
960 Notre Dame Avenue,North East,Municipal,No,Yes,Yes,Yes,Sudbury, P3A2T4,73.0,"(46.0, 172.0]",3.0,41.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,pioneer manor,,,,,Greater Sudbury / Grand Sudbury,3553005.0,46.51756439,-80.98200638,433.0
750 Tungsten Street,North West,Municipal,No,Yes,Yes,Yes,Thunder Bay, P7B6R1,27.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,pioneer ridge,,,,,Thunder Bay,3558004.0,48.41777116,-89.25595747,150.0
15 Elden Street Box 500,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,No,Virgil, L0S1T0,14.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,pleasant manor retirement village,,,,,Niagara-on-the-Lake,3526047.0,43.22673892,-79.12186246,41.0
99 Alma Street P. O. Box 426,Central East,For-Profit,No,Yes,Yes,Yes,Norwood, K0L2V0,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,pleasant meadow manor,,,,,Asphodel-Norwood,3515003.0,44.37927558,-77.96791169,61.0
15941 Simcoe Street,Central East,For-Profit,No,Yes,Yes,Yes,Port Perry, L9L1N5,50.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,6.0,"(5.0, 7.0]",1.0,port perry place,,,,,Scugog,3518020.0,44.11144499,-78.95044579,107.0
203 Georgian Drive,Mississauga Halton,Municipal,Yes,Yes,Yes,Yes,Oakville, L6H7H9,35.0,"(31.0, 46.0]",2.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,post inn village,<5,0,<5,Active,Oakville,3524001.0,43.48026034,-79.71675247,228.0
Princess Street Box 725,North West,Municipal,Yes,Yes,Yes,No,Dryden, P8N2Z4,28.0,"(21.0, 31.0]",1.0,8.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,princess court,,,,,Dryden,3560027.0,49.783303000000004,-92.8352797,97.0
3276 St. Clair Avenue East,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Scarborough, M1L1W1,55.0,"(46.0, 172.0]",3.0,29.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,providence healthcare,,<5,,Inactive,Toronto,3520005.0,43.712205100000006,-79.28502950000001,288.0
275 Sydenham Street,South East,Non-Profit,Yes,Yes,Yes,Yes,Kingston, K7K1G7,69.0,"(46.0, 172.0]",3.0,48.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,providence manor,,0,,Inactive,Kingston,3510010.0,44.23553812,-76.48546340000001,243.0
80 Queen Street North,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L8R3P6,44.0,"(31.0, 46.0]",2.0,15.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,queen's garden,,,,,Hamilton,3525005.0,43.26115109,-79.87697411,128.0
100 Queen Street East P.O. Box 369,South West,For-Profit,Yes,Yes,Yes,Yes,Hensall, N0M1X0,26.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,queensway long term care home,,,,,Bluewater,3540010.0,43.43497405,-81.50347404,60.0
5050 Jepson Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,No,Niagara Falls, L2E1K5,18.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,r. h. lawson eventide home,,,,,Niagara Falls,3526043.0,43.0997467,-79.07748394,101.0
114 Fourth Street P.O. Box 236,North West,Non-Profit,No,Yes,No,No,Rainy River, P0W1L0,12.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,rainy river health centre,,,,,Rainy River,3559042.0,48.71856,-94.5692765,21.0
550 Osborne Street,North West,Non-Profit,Yes,Yes,Yes,Yes,Fort Frances, P9A3T2,68.0,"(46.0, 172.0]",3.0,48.0,"(23.0, 86.0]",3.0,28.0,"(11.0, 44.0]",3.0,rainycrest,,,,,Fort Frances,3559012.0,48.61757858,-93.38953726,164.0
130 Reach Street,Central East,For-Profit,No,Yes,Yes,Yes,Uxbridge, L9P1L3,41.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,reachview village,6,<5,8,Active,Uxbridge,3518029.0,44.10408728,-79.11189924,100.0
66 Dorset Street East,Central East,For-Profit,Yes,Yes,Yes,Yes,Port Hope, L1A1E3,26.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,regency long term care home,,,,,Port Hope,3514020.0,43.95079819,-78.28804066,60.0
567 Victoria Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9A4N1,28.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,regency park long term care home,,,,,Windsor,3537039.0,42.31362957,-83.03932361,72.0
536 Upper Paradise Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L9C5E3,32.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,regina gardens,0,0,<5,Active,Hamilton,3525005.0,43.23102399,-79.91358922,128.0
"1020, Cartier Boulevard",Champlain,Municipal,Yes,Yes,Yes,Yes,Hawkesbury, K6A1W7,54.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,residence prescott et russell,,,,,Hawkesbury,3502008.0,45.60023563,-74.61370539,146.0
879 Chemin Parc Hiawatha,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Ottawa, K1C2Z6,114.0,"(46.0, 172.0]",3.0,72.0,"(23.0, 86.0]",3.0,28.0,"(11.0, 44.0]",3.0,residence saint-louis,21,<5,17,Active,,,,,198.0
89 Rankin Avenue,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Amherstburg, N9V1E7,62.0,"(46.0, 172.0]",3.0,35.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,richmond terrace,,,,,Amherstburg,3537028.0,42.10422443,-83.11025501,120.0
175 Rideau Street,South East,Municipal,No,Yes,Yes,Yes,Kingston, K7K3H6,69.0,"(46.0, 172.0]",3.0,42.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,rideaucrest home,,,,,Kingston,3510010.0,44.23807732,-76.48232850000001,170.0
385 Highland Road West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Stoney Creek, L8J3X9,24.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,ridgeview,,,,,Hamilton,3525005.0,43.18766128,-79.80319278,120.0
"Part Lot 16, Con 2, Logan Twn R.R. #5",South West,Non-Profit,No,Yes,Yes,No,Mitchell, N0K1N0,66.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,ritz lutheran villa,,,,,West Perth,3531025.0,43.478586,-81.191192,85.0
160 High Street P.O. Box 368,Central,For-Profit,No,Yes,Yes,Yes,Sutton West, L0E1R0,27.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,river glen haven nursing home,35,5,18,Active,Georgina,3519070.0,44.30394879999999,-79.36171604,119.0
650 Coronation Blvd.,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Cambridge, N1R7S6,17.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,riverbend place,,,,,Cambridge,3530010.0,43.37692539,-80.32575336,54.0
3181 Meadowbrook Lane,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N8T0A4,50.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,riverside place,0,0,<5,Active,Windsor,3537039.0,42.29910898,-82.92755457,96.0
519 King Street West,Erie St. Clair,Municipal,Yes,Yes,Yes,No,Chatham, N7M1G8,104.0,"(46.0, 172.0]",3.0,42.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,riverview gardens,,,,,Chatham-Kent,3536020.0,42.39921553,-82.19474266,320.0
1155 Water Street,Central East,For-Profit,No,Yes,Yes,Yes,Peterborough, K9H3P8,35.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,riverview manor nursing home,,0,,Inactive,Peterborough,3515014.0,44.33636205,-78.3150222,124.0
503 Essa Road,North Simcoe Muskoka,For-Profit,Yes,Yes,No,Yes,Barrie, L4N9E4,38.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,18.0,"(11.0, 44.0]",3.0,roberta place,,,,,Barrie,3543042.0,44.34268529,-79.70744685,140.0
