,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
395,525 Main Street North,Central West,Municipal,No,Yes,Yes,Yes,Brampton, L6X1N9,55,"(46.0, 172.0]",3,15,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,peel manor,<5,<5,6,Active,Brampton,3521010,177,43.70,-79.78
396,1 Health Care Crescent,North West,Non-Profit,No,Yes,Yes,Yes,Manitouwadge, P0T2C0,12,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,sant̩ manitouwadge health,,,,,,,9,49.13,-85.82
397,369 Frederick Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Kitchener, N2H2P1,31,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,peoplecare a.r. goudie kitchener,<5,9,13,Active,Kitchener,3530013,80,43.46,-80.47
398,42 Elliott Street,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Cambridge, N1R2J2,42,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,peoplecare hilltop manor cambridge,0,0,<5,Active,Cambridge,3530010,185,43.35,-80.31
399,1242 Oakcrossing Road,South West,For-Profit,No,Yes,Yes,Yes,London, N6H0G2,83,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,peoplecare oakcrossing london,0,0,<5,Active,London,3539036,160,42.99,-81.31
400,28 William Street North P.O. Box 460,South West,For-Profit,Yes,Yes,No,Yes,Tavistock, N0B2R0,22,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,peoplecare tavistock,,,,,East Zorra-Tavistock,3532038,100,43.32,-80.84
401,101 Christie Lake Road R. R. #4,South East,For-Profit,No,Yes,Yes,Yes,Perth, K7H3C6,40,"(31.0, 46.0]",2,24,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,perth community care centre,,,,,Tay Valley,3509015,121,44.90,-76.27
402,9 Meridian Place,Champlain,Municipal,No,Yes,Yes,Yes,Ottawa, K2G6P8,91,"(46.0, 172.0]",3,69,"(23.0, 86.0]",3,35,"(11.0, 44.0]",3,peter d. clark centre,5,<5,5,Active,Ottawa,3506008,216,45.34,-75.76
403,124 Lloyd Street P.O. Box 100,South East,Non-Profit,Yes,Yes,Yes,Yes,Northbrook, K0H2G0,20,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,pine meadow nursing home,,,,,Addington Highlands,3511035,60,44.74,-77.16
404,490 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,Stoney Creek, L8G1G6,20,"(0.0, 21.0]",0,15,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,pine villa nursing home,,,,,Hamilton,3525005,41,43.22,-79.72
405,1220 Valley Drive,North West,Municipal,Yes,Yes,Yes,No,Kenora, P9N2W7,25,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,pinecrest (kenora),,,,,Kenora,3560010,116,49.78,-94.46
406,101 Parent Street P.O. Box 250,Champlain,For-Profit,No,Yes,Yes,No,Plantagenet, K0B1L0,50,"(46.0, 172.0]",3,32,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,pinecrest (plantagenet),24,9,5,Active,Alfred and Plantagenet,3502023,60,45.54,-75.00
407,399 Bob Street P.O. BOX 220,South West,For-Profit,No,Yes,Yes,Yes,Lucknow, N0G2H0,19,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,pinecrest manor,,,,,Huron-Kinloss,3541015,61,43.96,-81.51
408,3418 County Road 36 R.R. #2,Central East,For-Profit,No,Yes,Yes,No,Bobcaygeon, K0M1A0,20,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,pinecrest nursing home (bobcaygeon),33,29,32,Active,Kawartha Lakes,3516010,65,44.53,-78.53
409,229 Lexington Road,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Waterloo, N2K2E1,39,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,pinehaven nursing home,,0,,Inactive,Waterloo,3530016,84,43.49,-80.51
410,960 Notre Dame Avenue,North East,Municipal,No,Yes,Yes,Yes,Sudbury, P3A2T4,73,"(46.0, 172.0]",3,41,"(23.0, 86.0]",3,19,"(11.0, 44.0]",3,pioneer manor,,,,,Greater Sudbury / Grand Sudbury,3553005,433,46.52,-80.98
411,750 Tungsten Street,North West,Municipal,No,Yes,Yes,Yes,Thunder Bay, P7B6R1,27,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,pioneer ridge,,,,,Thunder Bay,3558004,150,48.42,-89.26
412,15 Elden Street Box 500,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,No,Virgil, L0S1T0,14,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,pleasant manor retirement village,,,,,Niagara-on-the-Lake,3526047,41,43.23,-79.12
413,99 Alma Street P. O. Box 426,Central East,For-Profit,No,Yes,Yes,Yes,Norwood, K0L2V0,22,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,pleasant meadow manor,,,,,Asphodel-Norwood,3515003,61,44.38,-77.97
414,15941 Simcoe Street,Central East,For-Profit,No,Yes,Yes,Yes,Port Perry, L9L1N5,50,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,6,"(5.0, 7.0]",1,port perry place,,,,,Scugog,3518020,107,44.11,-78.95
415,203 Georgian Drive,Mississauga Halton,Municipal,Yes,Yes,Yes,Yes,Oakville, L6H7H9,35,"(31.0, 46.0]",2,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,post inn village,<5,0,<5,Active,Oakville,3524001,228,43.48,-79.72
416,Princess Street Box 725,North West,Municipal,Yes,Yes,Yes,No,Dryden, P8N2Z4,28,"(21.0, 31.0]",1,8,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,princess court,,,,,Dryden,3560027,97,49.78,-92.84
417,3276 St. Clair Avenue East,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Scarborough, M1L1W1,55,"(46.0, 172.0]",3,29,"(23.0, 86.0]",3,11,"(7.0, 11.0]",2,providence healthcare,,<5,,Inactive,Toronto,3520005,288,43.71,-79.29
418,275 Sydenham Street,South East,Non-Profit,Yes,Yes,Yes,Yes,Kingston, K7K1G7,69,"(46.0, 172.0]",3,48,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,providence manor,,0,,Inactive,Kingston,3510010,243,44.24,-76.49
419,80 Queen Street North,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L8R3P6,44,"(31.0, 46.0]",2,15,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,queen's garden,,,,,Hamilton,3525005,128,43.26,-79.88
420,100 Queen Street East P.O. Box 369,South West,For-Profit,Yes,Yes,Yes,Yes,Hensall, N0M1X0,26,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,queensway long term care home,,,,,Bluewater,3540010,60,43.43,-81.50
421,5050 Jepson Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,No,Niagara Falls, L2E1K5,18,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,r. h. lawson eventide home,,,,,Niagara Falls,3526043,101,43.10,-79.08
422,114 Fourth Street P.O. Box 236,North West,Non-Profit,No,Yes,No,No,Rainy River, P0W1L0,12,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,rainy river health centre,,,,,Rainy River,3559042,21,48.72,-94.57
423,550 Osborne Street,North West,Non-Profit,Yes,Yes,Yes,Yes,Fort Frances, P9A3T2,68,"(46.0, 172.0]",3,48,"(23.0, 86.0]",3,28,"(11.0, 44.0]",3,rainycrest,,,,,Fort Frances,3559012,164,48.62,-93.39
424,130 Reach Street,Central East,For-Profit,No,Yes,Yes,Yes,Uxbridge, L9P1L3,41,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,reachview village,6,<5,8,Active,Uxbridge,3518029,100,44.10,-79.11
425,66 Dorset Street East,Central East,For-Profit,Yes,Yes,Yes,Yes,Port Hope, L1A1E3,26,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,regency long term care home,,,,,Port Hope,3514020,60,43.95,-78.29
426,567 Victoria Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9A4N1,28,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,regency park long term care home,,,,,Windsor,3537039,72,42.31,-83.04
427,536 Upper Paradise Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L9C5E3,32,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,regina gardens,0,0,<5,Active,Hamilton,3525005,128,43.23,-79.91
428,"1020, Cartier Boulevard",Champlain,Municipal,Yes,Yes,Yes,Yes,Hawkesbury, K6A1W7,54,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,residence prescott et russell,,,,,Hawkesbury,3502008,146,45.60,-74.61
429,465 Dublin Street,Waterloo Wellington,For-Profit,Yes,Yes,Yes,Yes,Mount Forest, N0G2L3,30,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,strathcona long term care,0,0,<5,Active,,,87,43.98,-80.74
430,89 Rankin Avenue,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Amherstburg, N9V1E7,62,"(46.0, 172.0]",3,35,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,richmond terrace,,,,,Amherstburg,3537028,120,42.10,-83.11
431,175 Rideau Street,South East,Municipal,No,Yes,Yes,Yes,Kingston, K7K3H6,69,"(46.0, 172.0]",3,42,"(23.0, 86.0]",3,20,"(11.0, 44.0]",3,rideaucrest home,,,,,Kingston,3510010,170,44.24,-76.48
432,385 Highland Road West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Stoney Creek, L8J3X9,24,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,ridgeview,,,,,Hamilton,3525005,120,43.19,-79.80
433,"Part Lot 16, Con 2, Logan Twn R.R. #5",South West,Non-Profit,No,Yes,Yes,No,Mitchell, N0K1N0,66,"(46.0, 172.0]",3,24,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,ritz lutheran villa,,,,,West Perth,3531025,85,43.48,-81.19
434,160 High Street P.O. Box 368,Central,For-Profit,No,Yes,Yes,Yes,Sutton West, L0E1R0,27,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,river glen haven nursing home,35,5,18,Active,Georgina,3519070,119,44.30,-79.36
435,650 Coronation Blvd.,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Cambridge, N1R7S6,17,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,riverbend place,,,,,Cambridge,3530010,54,43.38,-80.33
436,3181 Meadowbrook Lane,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N8T0A4,50,"(46.0, 172.0]",3,23,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,riverside place,0,0,<5,Active,Windsor,3537039,96,42.30,-82.93
437,519 King Street West,Erie St. Clair,Municipal,Yes,Yes,Yes,No,Chatham, N7M1G8,104,"(46.0, 172.0]",3,42,"(23.0, 86.0]",3,17,"(11.0, 44.0]",3,riverview gardens,,,,,Chatham-Kent,3536020,320,42.40,-82.19
438,1155 Water Street,Central East,For-Profit,No,Yes,Yes,Yes,Peterborough, K9H3P8,35,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,riverview manor nursing home,,0,,Inactive,Peterborough,3515014,124,44.34,-78.32
439,503 Essa Road,North Simcoe Muskoka,For-Profit,Yes,Yes,No,Yes,Barrie, L4N9E4,38,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,18,"(11.0, 44.0]",3,roberta place,,,,,Barrie,3543042,140,44.34,-79.71
440,3015 Lawrence Avenue East,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P2V7,35,"(31.0, 46.0]",2,27,"(23.0, 86.0]",3,21,"(11.0, 44.0]",3,rockcliffe care community,0,0,<5,Active,Toronto,3520005,204,43.75,-79.25
441,575 Saddler Street East P. O. Box 660,South West,Municipal,No,Yes,Yes,No,Durham, N0G1R0,28,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,rockwood terrace home for the aged,,,,,West Grey,3542004,100,44.17,-80.81
442,17 Maplewood Avenue,Toronto Central,Non-Profit,No,Yes,Yes,No,Toronto, M6C4B3,14,"(0.0, 21.0]",0,5,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,rose of sharon korean long term care,,,,,Toronto,3520005,60,43.69,-79.42
443,131 Roses Bridge Road R. R. #2,South East,For-Profit,No,Yes,Yes,Yes,Jasper, K0G1G0,24,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,rosebridge manor,,0,,Inactive,Merrickville-Wolford,3507052,78,44.84,-75.89
444,507- 8th Avenue P.O. Box 70,North East,Non-Profit,No,Yes,Yes,No,Matheson, P0K1N0,13,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,rosedale centre,,,,,Black River-Matheson,3556014,20,48.54,-80.47
445,1145 Carling Avenue,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Ottawa, K1Z7K4,23,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,royal ottawa place,,,,,Ottawa,3506008,70,45.39,-75.73
446,635 Prince Charles Drive North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,No,No,No,Welland, L3C0C7,13,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,royal rose place,<5,17,<5,Active,Welland,3526032,96,43.00,-79.27
447,600 White's Road,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Palmerston, N0G2P0,23,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,royal terrace,,0,,Inactive,Minto,3523043,67,43.84,-80.84
448,1624 Franklin Boulevard,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Cambridge, N3C3P4,29,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,saint luke's place,,0,,Inactive,Cambridge,3530010,114,43.43,-80.31
449,220 Emma Street,Champlain,For-Profit,No,Yes,Yes,Yes,Cornwall, K6J5V8,26,"(21.0, 31.0]",1,20,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,sandfield place,,,,,Cornwall,3501012,53,45.04,-74.75
450,8720 Willoughby Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Niagara Falls, L2G7X3,66,"(46.0, 172.0]",3,45,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,bella senior care residences inc.,,,,,,,161,43.05,-79.04
451,27 Simcoe Street,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,Elmvale, L0L1P0,14,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,sara vista,,,,,Springwater,3543009,60,44.58,-79.86
452,2861 Colonial Road P.O. Box 130,Champlain,For-Profit,No,Yes,Yes,Yes,Sarsfield, K0A3E0,62,"(46.0, 172.0]",3,42,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,sarsfield colonial home,,,,,Ottawa,3506008,46,45.44,-75.35
453,100 James Street,South West,For-Profit,Yes,Yes,Yes,Yes,Seaforth, N0K1W0,16,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,seaforth long term care home,,,,,Huron East,3540040,63,43.56,-81.40
454,263 Wonham Street South,South West,For-Profit,Yes,Yes,Yes,Yes,Ingersoll, N5C3P6,58,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,secord trails care community,,,,,Ingersoll,3532018,80,43.03,-80.88
455,2 Buchan Court,Central,Non-Profit,Yes,Yes,Yes,Yes,North York, M2J5A3,33,"(31.0, 46.0]",2,21,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,seniors' health centre,,,,,Toronto,3520005,192,43.77,-79.36
456,9 Neilson Road,Central East,Municipal,Yes,Yes,Yes,Yes,Scarborough, M1E5E1,47,"(46.0, 172.0]",3,32,"(23.0, 86.0]",3,20,"(11.0, 44.0]",3,seven oaks,24,40,21,Active,Toronto,3520005,249,43.78,-79.20
457,12 Bartlett Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Grimsby, L3M4N5,20,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,shalom manor long term care home,,0,,Inactive,Grimsby,3526065,144,43.19,-79.52
458,70 Macklin Street North,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L8S3S1,20,"(0.0, 21.0]",0,14,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,shalom village nursing home,,,,,Hamilton,3525005,127,43.26,-79.90
459,200 Robert Street P.O. Box 156,Central West,For-Profit,Yes,Yes,Yes,Yes,Shelburne, L0N1S1,21,"(0.0, 21.0]",0,14,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,shelburne long term care home,19,18,18,Active,Shelburne,3522021,60,44.08,-80.20
460,3760 Sheppard Avenue East,Central East,Non-Profit,No,Yes,Yes,Yes,Toronto, M1T3K9,48,"(46.0, 172.0]",3,23,"(16.0, 23.0]",2,15,"(11.0, 44.0]",3,shepherd lodge,,0,,Inactive,Toronto,3520005,252,43.78,-79.29
461,345 Sherbourne Street,Toronto Central,Non-Profit,Yes,Yes,No,Yes,Toronto, M5A2S3,31,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,5,"(0.0, 5.0]",0,sherbourne place,38,18,26,Active,Toronto,3520005,126,43.66,-79.37
462,2460 Truscott Drive,Mississauga Halton,Municipal,No,Yes,Yes,Yes,Mississauga, L5J3Z8,24,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,sheridan villa,10,<5,7,Active,Mississauga,3521005,142,43.51,-79.65
463,300 Ravineview Drive,Central,For-Profit,No,Yes,Yes,Yes,Maple, L6A3P8,40,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,sherwood court long term care centre,0,0,<5,Active,Vaughan,3519028,96,43.89,-79.52
464,1814 County Road  #2 East,South East,Non-Profit,No,Yes,Yes,No,Brockville, K6V5T1,59,"(46.0, 172.0]",3,26,"(23.0, 86.0]",3,11,"(7.0, 11.0]",2,sherwood park manor,,,,,Elizabethtown-Kitley,3507014,107,44.61,-75.66
465,4350 Mississauga Road,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5M7C8,25,"(21.0, 31.0]",1,8,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,silverthorn care community,0,0,<5,Active,Mississauga,3521005,160,43.56,-79.69
466,5988 - 8TH LINE Main Street East,Central,Municipal,Yes,Yes,Yes,Yes,Beeton, L0G1A0,27,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,simcoe manor home for the aged,,,,,New Tecumseth,3543007,126,44.08,-79.78
467,107 Kelly Road P.O. Box 219,North East,Non-Profit,No,Yes,No,Yes,Smooth Rock Falls, P0L2B0,16,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,smooth rock falls hospital,,,,,Smooth Rock Falls,3556048,20,49.27,-81.61
468,240 Fyfe Street,North East,Non-Profit,Yes,Yes,Yes,Yes,Iroquois Falls, P0K1E0,22,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,south centennial manor,<5,0,0,Active,Iroquois Falls,3556031,69,48.77,-80.68
469,140 Grey Street P.O. Box 790,South West,For-Profit,Yes,Yes,Yes,Yes,Southampton, N0H2L0,28,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,southampton care centre,,,,,Saugeen Shores,3541045,88,44.49,-81.37
470,135 South Vickers Street,North West,For-Profit,No,Yes,Yes,Yes,Thunder Bay, P7E1J2,76,"(46.0, 172.0]",3,29,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,southbridge lakehead,,,,,Thunder Bay,3558004,131,48.38,-89.25
471,2625 Walsh Street East,North West,For-Profit,No,Yes,Yes,Yes,Thunder Bay, P7E2E5,38,"(31.0, 46.0]",2,25,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,southbridge pinewood,,,,,Thunder Bay,3558004,128,48.37,-89.27
472,99 Shuniah Street,North West,For-Profit,No,Yes,Yes,Yes,Thunder Bay, P7A2Z2,39,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,southbridge roseview,,,,,Thunder Bay,3558004,157,48.45,-89.22
473,640 Grace Street,Central,Non-Profit,No,Yes,Yes,Yes,Newmarket, L3Y2L1,49,"(46.0, 172.0]",3,18,"(16.0, 23.0]",2,13,"(11.0, 44.0]",3,southlake residential care village,0,0,<5,Active,Newmarket,3519048,224,44.06,-79.45
474,835 West Ridge Blvd.,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,Yes,Orillia, L3V8B3,31,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,spencer house,,0,,Inactive,Orillia,3543052,160,44.60,-79.45
475,2698 Clifford Line R. R. #5,Central East,For-Profit,No,Yes,Yes,Yes,Peterborough, K9J6X6,30,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,springdale country manor,,,,,Cavan Monaghan,3515013,68,44.23,-78.40
476,643 West Gore Street,South West,Municipal,Yes,Yes,No,Yes,Stratford, N5A1L4,44,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,spruce lodge home for the aged,,,,,Stratford,3531011,128,43.37,-81.00
477,96 Kittridge Avenue East,South West,For-Profit,No,Yes,Yes,Yes,Strathroy, N7G2A8,18,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,sprucedale care centre,,0,,Inactive,Strathroy-Caradoc,3539015,96,42.96,-81.62
478,2865 Riverside Drive,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Ottawa, K1V8N5,86,"(46.0, 172.0]",3,47,"(23.0, 86.0]",3,24,"(11.0, 44.0]",3,st. patrick's home,9,0,<5,Active,Ottawa,3506008,288,45.37,-75.69
479,255 St. Andrew's Street,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Cambridge, N1S1P1,52,"(46.0, 172.0]",3,22,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,st. andrew's terrace long term care community,,0,,Inactive,Cambridge,3530010,128,43.35,-80.33
480,2701 St Clair Avenue East,Toronto Central,Non-Profit,No,Yes,Yes,Yes,East York, M4B3M3,9,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,1,"(0.0, 5.0]",0,st. clair o'connor community nursing home,6,8,<5,Active,Toronto,3520005,25,43.71,-79.31
481,4690 Municipal Road 15,North East,Non-Profit,No,Yes,Yes,Yes,Chelmsford, P0M1L0,73,"(46.0, 172.0]",3,50,"(23.0, 86.0]",3,28,"(11.0, 44.0]",3,st. gabriel's villa of sudbury,0,0,<5,Active,Greater Sudbury / Grand Sudbury,3553005,128,46.58,-81.18
482,225 St. George Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5R2M2,45,"(31.0, 46.0]",2,21,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,st. george care community,0,0,<5,Active,Toronto,3520005,238,43.67,-79.40
483,915 Notre Dame Street P. O. Box 870,Champlain,Non-Profit,No,Yes,Yes,Yes,Embrun, K0A1W0,50,"(46.0, 172.0]",3,34,"(23.0, 86.0]",3,8,"(7.0, 11.0]",2,st. jacques nursing home,,,,,Russell,3502048,60,45.27,-75.29
484,659 Brealey Drive,Central East,Non-Profit,No,Yes,Yes,Yes,Peterborough, K9K2R8,110,"(46.0, 172.0]",3,47,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,st. joseph's at fleming,<5,0,<5,Active,Peterborough,3515014,200,44.27,-78.37
485,14 York Street,Champlain,Non-Profit,No,Yes,Yes,Yes,Cornwall, K6J5T2,34,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,st. joseph's continuing care centre,0,0,<5,Active,Cornwall,3501012,150,45.01,-74.73
486,120 Wellington Street P.O. Box 985,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Niagara-On-The-Lake, L0S1J0,19,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,niagara long term care residence,,,,,,,124,43.26,-79.06
487,99 Wayne Gretzky Parkway,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Brantford, N3S6T6,28,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,13,"(11.0, 44.0]",3,st. joseph's lifecare centre,,0,,Inactive,Brantford,3529006,205,43.15,-80.24
488,70 Spine Road,North East,Non-Profit,Yes,Yes,Yes,Yes,Elliot Lake, P5A1X2,39,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,st. joseph's manor,,,,,Elliot Lake,3557041,64,46.38,-82.66
489,75 Bruyere Street,Champlain,Non-Profit,No,Yes,Yes,Yes,Ottawa, K1N5C8,64,"(46.0, 172.0]",3,50,"(23.0, 86.0]",3,22,"(11.0, 44.0]",3,̩lisabeth-bruy̬re residence,10,5,<5,Active,,,71,45.43,-75.70
490,879 Chemin Parc Hiawatha,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Ottawa, K1C2Z6,114,"(46.0, 172.0]",3,72,"(23.0, 86.0]",3,28,"(11.0, 44.0]",3,residence saint-louis,21,<5,17,Active,,,198,45.48,-75.55
491,1250 South Bay Road,North East,Non-Profit,No,Yes,Yes,Yes,Sudbury, P3E6L9,39,"(31.0, 46.0]",2,21,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,"st. joseph's villa, sudbury",,<5,,Inactive,Greater Sudbury / Grand Sudbury,3553005,128,46.47,-80.97
492,"1803 County Road, #2 East Postal Bag  #1130",South East,Municipal,No,Yes,Yes,No,Brockville, K6V5T1,53,"(46.0, 172.0]",3,31,"(23.0, 86.0]",3,11,"(7.0, 11.0]",2,st. lawrence lodge,,,,,Elizabethtown-Kitley,3507014,224,44.60,-75.67
